province,confirm,suspect,dead,heal
湖北,67466,0,2902,40479
广东,1350,0,7,1159
河南,1272,0,22,1239
浙江,1215,0,1,1130
湖南,1018,0,4,933
安徽,990,0,6,970
江西,935,0,1,901
山东,758,0,6,576
江苏,631,0,0,580
重庆,576,0,6,502
四川,539,0,3,418
黑龙江,481,0,13,379
北京,418,0,8,297
上海,338,0,3,298
河北,318,0,6,301
福建,296,0,1,270
广西,252,0,2,213
陕西,245,0,1,222
云南,174,0,2,169
海南,168,0,5,158
贵州,146,0,2,114
天津,136,0,3,128
山西,133,0,0,124
辽宁,125,0,1,106
香港,104,0,2,43
吉林,93,0,1,86
甘肃,91,0,2,87
新疆,76,0,3,69
宁夏,75,0,0,69
内蒙古,75,0,1,63
台湾,42,0,1,12
青海,18,0,0,18
澳门,10,0,0,9
西藏,1,0,0,1
